city,latitude,longitude,pageurl,site_review_rating,property_name
Goa,15.5512277,73.7654367,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/4284168535370698345/na/hq/,1,Calangute Beach Resort
Chittorgarh,24.89382953,74.80664529,http://www.goibibo.com/hotels/detail/Chittorgarh/hn/5885060592626219663/1626566599500075863/na/hq/,2.3,Castle Bijaipur Hotels(35 Km from Chittorgarh)
Mandarmani,21.666,87.705,http://www.goibibo.com/hotels/detail/Mandarmani/hn/1111111239243616096/6153600058978701470/na/hq/,1,Calypso Hotel and Resorts
Coorg,12.4248789,75.9535815,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/7095492904180826470/na/hq/,1,Bota Royal
Goa,15.48837202,73.8122053,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/7247811963195679549/na/hq/,3.6,Campal Beach Resort
Palakkad,10.7867303,76.6547932,http://www.goibibo.com/hotels/detail/Palakkad/hn/5880173016690161606/8228787386836041102/na/hq/,4.4,Boon Inn
Rajahmundry,17.0005383,81.8040345,http://www.goibibo.com/hotels/detail/Rajahmundry/hn/1284983617884803061/6269945475780403119/na/hq/,3.1,Bommana Residency
Goa,15.61598206,73.78794861,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6990477957039119496/na/hq/,1,CasaMelhor 1 BHK In Siolim
Hyderabad,17.4027421,78.4524591,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/3711516973426244650/na/hq/,1,Blueberry Service Apartments
Thekkady,9.73221654,77.14955802,http://www.goibibo.com/hotels/detail/Thekkady/hn/113710562199999999/6007490375290626148/na/hq/,4.3,Carmelia Haven
Ooty,11.40061939,76.70377003,http://www.goibibo.com/hotels/detail/Ooty/hn/889033689324744753/8606852076223525007/na/hq/,3.6,British Cliff Club Resort
Gorakhpur,26.7605545,83.3731675,http://www.goibibo.com/hotels/detail/Gorakhpur/hn/2496493766324838012/8297256584945670825/na/hq/,1,Bobina Hotel
Dapoli Camp,17.73394215,73.20333966,http://www.goibibo.com/hotels/detail/Dapoli Camp/hn/6802487720102970772/1600901308125097626/na/hq/,1,Chira Meadows
Chandigarh,30.6660881,76.81584167,http://www.goibibo.com/hotels/detail/Chandigarh/hn/1490240556082995568/3180558897805642053/na/hq/,4.2,chandigarh Ashok
Delhi,28.6429341,77.2104942,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/5540954646836677421/na/hq/,4.7,Bless Inn
Noida,28.5960875,77.3683319,http://www.goibibo.com/hotels/detail/Noida/hn/2311763083662248959/3782309197746483482/na/hq/,5,BnB Inn
